"Name (Last, First)",Notes & Questions,Priority Level,HLS Degree(s),Grad Date(s),Position / Role,Bio,Sources,Why Notable?,Why Controversial?,Date Done,Race,Race copy,HLS Yearbook 3L Photograph,Notes (on Photograph),Gender,Party,Country
"Cressey, Bryan",,3,J.D. / M.B.A.,1976,Corporate / Business,,"https://hls.harvard.edu/content/uploads/2014/12/jd-mba-speaker-bios-final.v2_11.7.14_sw.pdf
https://www.cresseyco.com/about/team/bryan-cressey/",,,,White,White,,,Male,,USA
"Golub, Lawrence",,3,J.D. / M.B.A.,1984,Corporate / Business,,"https://hls.harvard.edu/content/uploads/2014/12/jd-mba-speaker-bios-final.v2_11.7.14_sw.pdf
https://en.wikipedia.org/wiki/Lawrence_E._Golub",,,,White,White,,,Male,,USA
"Kleber, Andrew",,1,J.D. / M.B.A.,2010,"Corporate / Business,Public Interest Law / Nonprofit Legal Services",,https://hls.harvard.edu/content/uploads/2014/12/jd-mba-speaker-bios-final.v2_11.7.14_sw.pdf,,,,White (Jewish),White,,,Male,,USA
"Minow, Martha",,1,J.D. / M.B.A.,1981,"Academia / Education,Public Interest Law / Nonprofit Legal Services",,https://hls.harvard.edu/content/uploads/2014/12/jd-mba-speaker-bios-final.v2_11.7.14_sw.pdf,,,,White,White,,,Female,,USA
"Norris, Julie Cohen",,3,J.D. / M.B.A.,1994,Corporate / Business,,https://hls.harvard.edu/content/uploads/2014/12/jd-mba-speaker-bios-final.v2_11.7.14_sw.pdf,,,,White,White,,,Female,,USA
"Sunstein, Cass",,2,J.D. / M.B.A.,1978,"Academia / Education,Government",,https://hls.harvard.edu/content/uploads/2014/12/jd-mba-speaker-bios-final.v2_11.7.14_sw.pdf,,,,White,White,,,Male,,USA
"Wolpow, Marc B.",,3,J.D. / M.B.A.,1985,Corporate / Business,,https://hls.harvard.edu/content/uploads/2014/12/jd-mba-speaker-bios-final.v2_11.7.14_sw.pdf,,,,White,White,,,Male,,USA
"Subramanian, Guhan",,3,J.D. / M.B.A.,1998,Academia / Education,,https://hls.harvard.edu/faculty/directory/10868/Subramanian,,,,Asian (Indian),Asian,,,Male,,USA
"Dawson, Horace, II",,3,J.D. / M.B.A.,1980,Corporate / Business,,https://careers.redlobster.com/leadership-bios.html,,,,Black,Black,,,Male,,USA
"White, Neal J.",,3,J.D. / M.B.A.,1977,Law Firm,,https://www.mwe.com/people/white-neal-j/,,,,White,White,,,Male,,USA
"Storch, Jerry",,3,J.D. / M.B.A.,1982,Corporate / Business,,https://en.wikipedia.org/wiki/Gerald_L._Storch,,,,White,White,,,Male,,USA
"Wilkins, Timothy",,3,J.D. / M.B.A.,1993,Law Firm,,https://www.freshfields.us/contacts/find-a-lawyer/w/wilkins-timothy/,,,,White,White,,,Male,,USA
"Thorne, Chris",,3,J.D. / M.B.A.,1995,Corporate / Business,,https://200.hls.harvard.edu/events/hls-in-the-world/private-equity-ownership/,,,,White,White,,,Male,,USA
"Adler, Daniel",,1,J.D. / M.B.A.,2017,"Corporate / Business,Arts / Media / Entertainment",,https://hls.harvard.edu/alumni/reunions/jd-mba-reunion-2014/jd-mba-reunion-2014-photos/,,,,White,White,,,Male,,USA
"Harwell, Lynn Wood",,3,J.D. / M.B.A.,2014,Academia / Education,,https://neurodiscovery.harvard.edu/people/lynn-wood-harwell-jd-mba,,,,Black,Black,,,Female,,USA
"Sivanesan, Sanjey",,3,J.D. / M.B.A.,2017,Corporate / Business,,"https://www.nuna.com/about-us/#
https://www.linkedin.com/in/sanjey",,,,Asian,Asian,,,Male,,USA
"McLeod, Kia",,3,J.D. / M.B.A.,2014,Corporate / Business,,https://www.linkedin.com/in/kia-jovanie-mcleod-3601a930,,,,Blakc,Black,,,Female,,USA
"Niles-Weed, Robert B.",,3,J.D. / M.B.A.,2016,Corporate / Business,,https://www.weil.com/people/robert-nilesweed,,,,White,White,,,Male,,USA
"McMullen, John A.",,2,J.D. / M.B.A.,1973,"Corporate / Business,Government",,https://en.wikipedia.org/wiki/John_A._McMullen,,,,White,White,,,Male,,USA
"Tyle, Sheel",,3,J.D. / M.B.A.,2018,Corporate / Business,,https://www.forbes.com/sites/alexkonrad/2017/10/10/amplo-stealthy-fund-led-by-sheel-tyle/?sh=6944f0f6900e,,,,Asian,Asian,,,Male,,USA
"Prasad, Sridhar",,3,J.D. / M.B.A.,2009,Philanthropist,,https://www.bridgespan.org/about-us/team-members/sridhar-prasad,,,,Asian ,Asian,,,Male,,USA
"Zaidi, Zeeshan",,3,J.D. / M.B.A.,2000,Corporate / Business,,https://www.justice.gov/usao-edny/pr/ticketmaster-pays-10-million-criminal-fine-intrusions-competitor-s-computer-systems-0,,,,White ?,White,,,Male,,USA
"Shenai, Siddarth",,3,J.D. / M.B.A.,2010,Academia / Education,,https://www.cee.org/news-events/press-media/cee-welcomes-two-distinguished-new-members-board,,,,Asian,Asian,,,Female,,USA
"Kaplan, Charles",,3,J.D. / M.B.A.,1978,Corporate / Business,,https://www.linkedin.com/in/chkaplan,,,,White,White,,,Male,,USA
"Fancher, Terry",,3,J.D. / M.B.A.,1983,Corporate / Business,,"https://stockbridge.com/team/terry-fancher/
https://en.wikipedia.org/wiki/Stockbridge_Capital_Group",,,,White,White,,,Male,,USA
"Kim, Sarah",,3,J.D. / M.B.A.,2005,Corporate / Business,,https://www.nyfoundling.org/officer/sarah-kim/,,,,Asian,Asian,,,Female,,USA
"Gupta, Geetanjali ",,3,J.D. / M.B.A.,2006,"Corporate / Business,Academia / Education",,https://www.ai-cio.com/news/geetanjali-gupta-named-cio-new-york-public-library/,,,,Asian,Asian,,,Female,,USA
"Bennet, William",,1,J.D.,1971,"Government,Arts / Media / Entertainment",,https://en.wikipedia.org/wiki/William_Bennett,,,,White,White,,,Male,R,USA
"Bennet, Robert S.",,1,LL.M.,1965,"Law Firm,Government",,https://en.wikipedia.org/wiki/Robert_S._Bennett,,,,White,White,,,Male,,USA
"George, Robert P.",,3,J.D.,1981,Academia / Education,,https://en.wikipedia.org/wiki/Robert_P._George,,,,White,White,,,Male,,USA
"Gómez, José",,1,J.D.,1981,"Government,Activist",,https://en.wikipedia.org/wiki/José_Gómez_(activist),,,,Hispanic,Hispanic,,,Male,,USA
"Boonin, Sarah",,3,J.D.,2004,Academia / Education,,"https://www.suffolk.edu/academics/faculty/s/b/sboonin
https://www.thecrimson.com/article/2003/9/22/hls-holds-nations-first-ever-glbt/",,,,White,White,,,Female,,USA
"Goad, Amanda",,1,J.D.,2005,Public Interest Law / Nonprofit Legal Services,,"https://www.aclusocal.org/en/amanda-goad
https://jeopardyhistory.fandom.com/wiki/Amanda_Goad
https://www.thecrimson.com/article/2003/9/22/hls-holds-nations-first-ever-glbt/",,,,White,White,,,Female,,USA
"Albert, Kendra",,3,J.D.,2016,Academia / Education,,https://kendraalbert.com,,,,White,White,,,Female,,USA
"Al-Wakeel, Shannon",,1,J.D.,2010,Public Interest Law / Nonprofit Legal Services,,"https://www.linkedin.com/in/shannon-al-wakeel?challengeId=AQGB9-fwk_eYjAAAAXv69GS89b_5QWqeQQvuVMQD67sRSv4OnPvhZDT44XR0IKiokkd117gjthYVbNxJh6GcJ0w5im-ZnNAN6w&submissionId=4991ab93-030a-a616-cf35-4282883f8a42
https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf",,,,White (Middle-East?),White,,,Female,,USA
"Apter, Rachel Weiner",,2,J.D.,2007,Government,,"https://whyy.org/articles/murphy-names-former-rbg-clerk-rachel-wainer-apter-to-n-j-supreme-court/
https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf",,,,White,White,,,Female,,USA
"Arnaboldi, Nicole S.",,3,J.D.,1984,Corporate / Business,,"https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf
https://www.linkedin.com/in/nicole-arnaboldi-317430b",,,,White,White,,,Female,,USA
"Bansal, Preeta D.",,2,J.D.,1989,"Academia / Education,Government",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Asian,Asian,,,Female,,USA
"Benecke, Michelle ",,1,J.D.,1992,"Government,Public Interest Law / Nonprofit Legal Services",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Berkovich, Ronit J. ",,3,J.D.,2001,Corporate / Business,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Stein, Michael Ashley",,3,J.D.,1998,Academia / Education,,https://hls.harvard.edu/faculty/directory/11148/Stein/,,,,White,White,,,Male,,USA
"Biber, Kathryn",,2,J.D.,2004,"Government,Corporate / Business",,"https://en.wikipedia.org/wiki/Kathryn_Biber
https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf",,,,White,White,,,Female,,USA
"Bissoon, Cathy",,2,J.D.,1993,Judiciary,,"https://en.wikipedia.org/wiki/Cathy_Bissoon
https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf",,,,Hispanic,Hispanic,,,Female,,USA
"Brooks, Royce",,2,J.D.,2005,Government,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Burke, Molly",,1,J.D.,1982,"Corporate / Business,Public Interest Law / Nonprofit Legal Services",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Buzicky, Kate",,1,J.D.,2007,"Government,Military",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Cárdenas, María Alejandra ",,1,J.D.,2009,Public Interest Law / Nonprofit Legal Services,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Hispanic,Hispanic,,,Female,,"Colombia,USA"
"Carter, Stefani",,2,J.D.,2005,"Government,Law Firm",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Cendali, Dale M.",,3,J.D.,1984,Law Firm,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Chadwick, Angela",,2,J.D.,1992,Judiciary,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Chaney, Joi O. ","Omitted from Celebration 65:  Julie Chiu, Gina Clayton Johnson, Medina Senghore Collie, Jennifer Collins",1,J.D.,2003,"Government,Public Interest Law / Nonprofit Legal Services",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Christian, Aisha",,1,J.D.,1998,"Government,Academia / Education,Public Interest Law / Nonprofit Legal Services",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Ching, Ellen",,3,J.D.,2007,Law Firm,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Asian,Asian,,,Female,,USA
"Clark, Carolyn Cochran",,3,J.D.,1968,Law Firm,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Clarke, Teresa H.",,1,J.D. / M.B.A.,1989,"Corporate / Business,Arts / Media / Entertainment",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Coomaraswamy, Radhika",,1,LL.M.,1982,"Government,International,Activist",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Asian (Sri Lankan),Asian,,,Female,,"Sri Lanka,USA"
"Cordero, Laura A.",,2,J.D.,1988,Judiciary,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Hispanic,Hispanic,,,Female,,USA
"Crenshaw, Kimberlé Williams",,3,J.D.,1984,Academia / Education,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Daniels, Jennifer",,3,J.D.,1988,Corporate / Business,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"de Alwis, Rangita de Silva",,1,"LL.M.,S.J.D.",1994/1997,"Academia / Education,Government,International",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Asian ,Asian,,,Female,,USA
"DeParle, Nancy-Ann",,2,J.D.,1983,"Government,Corporate / Business",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"DeWitt, Dorothy D.",,3,J.D.,1994,Corporate / Business,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Dorch, A. Verona",,3,J.D.,1995,Corporate / Business,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Duffy, Fernande R.V.",,2,J.D.,1978,Judiciary,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Edwards, Amanda K.",,2,J.D.,2007,Government,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Erlog, Jennifer Walker",,2,J.D.,1992,Judiciary,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Emery, N. Beth",,2,J.D.,1977,Judiciary,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Feldblum, Chai",,2,J.D.,1985,Government,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Ferrell, Lisa C.",,2,J.D.,1990,"Corporate / Business,Government",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Fewell, Kenitra I.",,1,J.D.,2005,Military,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Frye, Jocelyn C.",,1,J.D.,1988,"Government,Public Interest Law / Nonprofit Legal Services",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Grant, Jodi",,1,J.D.,1993,Public Interest Law / Nonprofit Legal Services,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Gray, Danielle C.",,2,J.D.,2003,"Government,Corporate / Business",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Harold, Erika N.L.",,2,J.D.,2007,"Corporate / Business,Government",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Harris, Meena",Kamala Harris' niece,1,J.D.,2012,"Corporate / Business,Public Interest Law / Nonprofit Legal Services",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,"White (Black, Mixed)","White,Black",,,Female,,USA
"Ifill, Michelle C.",,3,J.D.,1985,Corporate / Business,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Jean-Pierre, Danièle",,2,J.D.,1981,Government,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Khan, Irene",,1,LL.M.,1979,"Government,International",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Klehr, Deborah Gordon",,1,J.D.,2004,Public Interest Law / Nonprofit Legal Services,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Lapidus, Lenora M.",,1,J.D.,1990,Public Interest Law / Nonprofit Legal Services,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Mangold, Susan Vivian",,1,J.D.,1987,Public Interest Law / Nonprofit Legal Services,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"McGowan, Sharon",,1,J.D.,2000,Public Interest Law / Nonprofit Legal Services,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"McKnight-Chavers, Ginger",,1,J.D.,1988,Arts / Media / Entertainment,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Mody, Zia",,1,LL.M.,1979,Corporate / Business,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Asian ,Asian,,,Female,,India
"Myers, Vernā",,3,J.D.,1985,Corporate / Business,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Neuwirth, Jessica",,1,J.D.,1985,"Public Interest Law / Nonprofit Legal Services,International,Government",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Nix-Hines, Crystal",,2,J.D.,1990,"Government,Law Firm",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Page, Susan D.",,2,J.D.,1989,Government,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Parekh, Megha",,1,J.D.,2009,"Corporate / Business,Arts / Media / Entertainment",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,,,,,Female,,USA
"Prelogar, Elizabeth B.",,2,J.D.,2008,Government,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Putney, Laura L.",,1,J.D.,1995,Arts / Media / Entertainment,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Reiss, Rena Hozore",,3,J.D.,1986,Corporate / Business,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Romero, Ramona E.",,3,J.D.,1988,Academia / Education,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Samuelson, Martha",,3,J.D.,1979,Corporate / Business,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Saris, Patti B.",,2,J.D.,1976,Judiciary,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Siegel, Bettina Elias",,1,J.D.,1991,"Arts / Media / Entertainment,Public Interest Law / Nonprofit Legal Services",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Stanley, Deidre",,3,J.D.,1989,Corporate / Business,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,Black,Black,,,Female,,USA
"Stein, Laura",,3,J.D.,1987,Corporate / Business,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Thomsen, Linda Chatman",,2,J.D.,1979,Government,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Weaver, Amy E.",,3,J.D.,1995,Corporate / Business,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Weddle, Jenniffer",,1,J.D.,2000,"Law Firm,Public Interest Law / Nonprofit Legal Services",,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,American Indian,American Indian,,,Female,,USA
"Whiteley, Sivan",,3,J.D.,2002,Corporate / Business,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Wiehl, Lis",,1,J.D.,1987,Arts / Media / Entertainment,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
"Williams, Beth A.",,2,J.D.,2004,Government,,https://hls.harvard.edu/content/uploads/2018/09/Speaker-Bios-9.11.pdf,,,,White,White,,,Female,,USA
